,dc_creator,dc_title,dc:publisher,dc_source,dc_identifier
15054,"Keller, Walter",Il folletto,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '34', '1944', '4', None, '60']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1944:34::161', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1944:34::161', 'doi:10.5169/seals-1004687']"
15055,"Edelmann, A.",Ein Spiel für kleine Kinder,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '34', '1944', '4', None, '62']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1944:34::164', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1944:34::164', 'doi:10.5169/seals-1004688']"
15056,"Eder, Leo",Die Entstehung des Fulenbachermarsches,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '34', '1944', '5', None, '65']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1944:34::168', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1944:34::168', 'doi:10.5169/seals-1004689']"
15057,"Meier, John",Der Galgenstein von Wegenstetten,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '34', '1944', '5', None, '69']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1944:34::169', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1944:34::169', 'doi:10.5169/seals-1004690']"
15058,[s.n.],Der Galgen bei Olten,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '34', '1944', '5', None, '70']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1944:34::172', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1944:34::172', 'doi:10.5169/seals-1004691']"
15059,"Bielander, J.",Kartoffelbrot : Rieja,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '34', '1944', '5', None, '72']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1944:34::175', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1944:34::175', 'doi:10.5169/seals-1004692']"
15060,"Ackermann, Jos.",Volkskundliches aus dem obern Möhlintal,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '34', '1944', '5', None, '74']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1944:34::178', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1944:34::178', 'doi:10.5169/seals-1004693']"
15061,"Montalta, G.J.",Alte Hochzeitsbräuche aus dem Lugnez,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '34', '1944', '5', None, '77']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1944:34::181', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1944:34::181', 'doi:10.5169/seals-1004694']"
15062,"Arnet-Graf, Jos.",Beerdigungsbräuche aus dem Luzernerbiet,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '34', '1944', '5', None, '78']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1944:34::184', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1944:34::184', 'doi:10.5169/seals-1004695']"
15063,[s.n.],Dr. h. c. P. Notker Curti,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '34', '1944', '6', None, '81']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1944:34::190', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1944:34::190', 'doi:10.5169/seals-1004696']"
15064,"Bopp, Jakob",Ein alter Volksbrauch aus der Gemeinde Lupfig im Eigenamt,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '34', '1944', '6', None, '82']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1944:34::191', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1944:34::191', 'doi:10.5169/seals-1004697']"
15065,"Sooder, M.","Kinderspruch und Kinderlied, Sprichwort und Rätsel aus dem Oberwallis",Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '34', '1944', '6', None, '84']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1944:34::192', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1944:34::192', 'doi:10.5169/seals-1004698']"
15066,"Ackermann, J.",Flurkreuze : aus dem obern Möhlintal,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '33', '1943', '1', None, '1']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1943:33::118', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1943:33::118', 'doi:10.5169/seals-1004545']"
15067,"Strebel, Karl",Das alte Fastnachtsfeuer von Sarmenstorf,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '33', '1943', '1', None, '6']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1943:33::121', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1943:33::121', 'doi:10.5169/seals-1004546']"
15068,"Rickenbach, Jakob",Fastnacht in Arth von dazumal (1870-1885),Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '33', '1943', '1', None, '9']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1943:33::124', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1943:33::124', 'doi:10.5169/seals-1004547']"
15069,"Meuli, Karl",Zum Märchen vom Tränenkrüglein : ein Nachtrag,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '33', '1943', '2', None, '17']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1943:33::126', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1943:33::126', 'doi:10.5169/seals-1004548']"
15070,"Ackermann, J.",Allerlei Volkskundliches aus dem obern Möhlintal [Fortsetzung],Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '33', '1943', '2', None, '20']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1943:33::127', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1943:33::127', 'doi:10.5169/seals-1004549']"
15071,"Rickenbach, Jakob",Fastnacht in Arth von dazumal (1870-1885) [Fortsetzung],Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '33', '1943', '2', None, '34']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1943:33::129', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1943:33::129', 'doi:10.5169/seals-1004550']"
15072,"Rickenbach, Jakob",Fastnacht in Arth von dazumal (1870-1885) [Schluss],Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '33', '1943', '3', None, '37']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1943:33::134', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1943:33::134', 'doi:10.5169/seals-1004551']"
15073,"Arnet-Graf, Jos.","Von Glocken, Glockengüssen und Läutebräuchen im Luzernerbiet",Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '33', '1943', '3', None, '46']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1943:33::137', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1943:33::137', 'doi:10.5169/seals-1004552']"
15074,"Weiss, Richard",Brunnen und Brunnenordnung im Engadin,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '33', '1943', '4', None, '53']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1943:33::143', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1943:33::143', 'doi:10.5169/seals-1004553']"
15075,"Rickenbach, Jakob",Alte Kinderspiele aus Arth,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '33', '1943', '4', None, '60']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1943:33::144', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1943:33::144', 'doi:10.5169/seals-1004554']"
15076,"Arnet-Graf, Jos.",Religiöses Brauchtum aus dem Kanton Luzern,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '33', '1943', '4', None, '64']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1943:33::147', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1943:33::147', 'doi:10.5169/seals-1004555']"
15077,"Bielander, J.",Pärwei,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '33', '1943', '4', None, '66']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1943:33::150', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1943:33::150', 'doi:10.5169/seals-1004556']"
15078,"Meyer, Isidor",Der Talweibel von Ursern,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '33', '1943', '5', None, '69']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1943:33::161', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1943:33::161', 'doi:10.5169/seals-1004557']"
15079,"Bertogg, Hereli",Die Maikäfer zu Hohentrins,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '33', '1943', '5', None, '72']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1943:33::164', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1943:33::164', 'doi:10.5169/seals-1004558']"
15080,"Curti, Notker",Primizkrone - Primizkranz,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '33', '1943', '5', None, '76']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1943:33::167', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1943:33::167', 'doi:10.5169/seals-1004559']"
15081,"Gächter, Oswald",Chläffla und Rassla,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '33', '1943', '5', None, '79']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1943:33::170', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1943:33::170', 'doi:10.5169/seals-1004560']"
15082,"Pfister-Burkhalter, Margarete",Fronleichnamsaltar aus Wegenstetten im Kanton Aargau,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '33', '1943', '6', None, '85']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1943:33::176', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1943:33::176', 'doi:10.5169/seals-1004561']"
15083,"Wackernagel, H.G.",Frau Saelde in der alten Schweiz,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '33', '1943', '6', None, '90']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1943:33::179', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1943:33::179', 'doi:10.5169/seals-1004562']"
15084,"Schmid, Emanuel",Kilbi im Glarnerland,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '33', '1943', '6', None, '93']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1943:33::180', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1943:33::180', 'doi:10.5169/seals-1004563']"
15085,"Schmid, Emanuel",Spukgeschichten aus der Gegend um Wallenstadt,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '33', '1943', '6', None, '95']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1943:33::181', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1943:33::181', 'doi:10.5169/seals-1004564']"
15086,"Jörger, Paula",Die Valser Bergträger,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '32', '1942', '1', None, '1']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1942:32::117', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1942:32::117', 'doi:10.5169/seals-1004784']"
15087,"Reinle, Adolf",Grüne Kränze als Urform des Schappels,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '32', '1942', '1', None, '11']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1942:32::118', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1942:32::118', 'doi:10.5169/seals-1004785']"
15088,"Sidler, Franz",Zur Votiv- und Wallfahrtsaktion,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '32', '1942', '2', None, '17']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1942:32::127', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1942:32::127', 'doi:10.5169/seals-1004786']"
15089,"Oppenheim, K.",Hochzeit in Carona,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '32', '1942', '2', None, '25']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1942:32::130', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1942:32::130', 'doi:10.5169/seals-1004787']"
15090,"Huber-Rupli, H.",Ueber Beinamen in Hallau,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '32', '1942', '2', None, '28']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1942:32::133', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1942:32::133', 'doi:10.5169/seals-1004788']"
15091,"Frey, Arthur",Der Lehrer im Dienste der Volkskunde,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '32', '1942', '3', None, '37']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1942:32::139', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1942:32::139', 'doi:10.5169/seals-1004789']"
15092,"Weiss, Richard",Volkskundliches Erforschen und Erleben des alpinen Kulturkreises,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '32', '1942', '3', None, '41']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1942:32::142', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1942:32::142', 'doi:10.5169/seals-1004790']"
15093,"Ranke, Friedrich",Volkssagen und Schule,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '32', '1942', '3', None, '47']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1942:32::145', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1942:32::145', 'doi:10.5169/seals-1004791']"
15094,"Müller, G.",Volkskunde und Schule,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '32', '1942', '3', None, '49']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1942:32::149', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1942:32::149', 'doi:10.5169/seals-1004792']"
15095,"Pfister-Burkhalter, Margarete",Ein volkstümlicher Holzschnitt des 17. Jahrhunderts,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '32', '1942', '4', None, '53']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1942:32::152', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1942:32::152', 'doi:10.5169/seals-1004793']"
15096,"Iten, Alb.",Esel in Orts- und Flurnamen,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '32', '1942', '4', None, '59']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1942:32::155', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1942:32::155', 'doi:10.5169/seals-1004794']"
15097,"Meyer, Isidor",Die Benennung der verschiedenen Schneemengen und Schneefälle in Ursern,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '32', '1942', '4', None, '61']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1942:32::158', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1942:32::158', 'doi:10.5169/seals-1004795']"
15098,"Ackermann, Jos.",Allerlei Volkskundliches aus dem obern Möhlintal,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '32', '1942', '4', None, '62']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1942:32::161', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1942:32::161', 'doi:10.5169/seals-1004796']"
15099,"Edelmann, A.",Von der Toggenburger Halszither,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '32', '1942', '5', None, '69']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1942:32::164', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1942:32::164', 'doi:10.5169/seals-1004797']"
15100,"Fust, Josef",Das Toggenburger Heimatmuseum in Lichtensteig,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '32', '1942', '5', None, '73']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1942:32::165', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1942:32::165', 'doi:10.5169/seals-1004798']"
15101,"Widmer, Otmar",Bäuerliche Volkskunst im Toggenburg : Anna Barbara Aemisegger-Giezendanner (1831-1905),Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '32', '1942', '5', None, '78']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1942:32::166', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1942:32::166', 'doi:10.5169/seals-1004799']"
15102,"Krebser, H.",Militärische Knabenumzüge in Wald im Zürcher Oberland,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '32', '1942', '6', None, '85']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1942:32::172', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1942:32::172', 'doi:10.5169/seals-1004800']"
15103,"Meyer, Isidor",Das Kindli-Mahl,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '32', '1942', '6', None, '92']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1942:32::175', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1942:32::175', 'doi:10.5169/seals-1004801']"
15104,"Bielander, J.",Besuch in der Verseschmiede des Volkes,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '32', '1942', '6', None, '95']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1942:32::178', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1942:32::178', 'doi:10.5169/seals-1004802']"
15105,"Regli, P. Eduard",Das Volk von Ursern,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '36', '1946', '1', None, '2']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1946:36::120', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1946:36::120', 'doi:10.5169/seals-1004721']"
15106,"Niedermann, Max",Zur schweizerischen Ortsnamenkunde,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '36', '1946', '1', None, '6']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1946:36::121', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1946:36::121', 'doi:10.5169/seals-1004722']"
15107,"Bandi, H.-G.",Eine Steinlampe aus dem Jura,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '36', '1946', '1', None, '12']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1946:36::124', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1946:36::124', 'doi:10.5169/seals-1004723']"
15108,"Rubi, Christian",Bauleute und Bauherren im Hausspruch des Simmentals,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '36', '1946', '2-3', None, '17']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1946:36::130', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1946:36::130', 'doi:10.5169/seals-1004724']"
15109,"Bühler, Alfred",Musterung von reifenden Äpfeln und von Ostereiern,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '36', '1946', '2-3', None, '22']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1946:36::133', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1946:36::133', 'doi:10.5169/seals-1004725']"
15110,"Sooder, Melchior",Der St. Johannizieger zu Unterseen und im Habkerntale,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '36', '1946', '2-3', None, '27']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1946:36::134', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1946:36::134', 'doi:10.5169/seals-1004726']"
15111,"Schmitter, Werner","Eine Änderung am Prätigauer Bockschlitten : ein Beispiel für ""individuelle Triebkräfte""",Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '36', '1946', '4', None, '49']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1946:36::141', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1946:36::141', 'doi:10.5169/seals-1004727']"
15112,"Escher, Walter",Eine Sagenunterhaltung aus St. Antönien,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '36', '1946', '4', None, '55']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1946:36::142', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1946:36::142', 'doi:10.5169/seals-1004728']"
15113,"Trüb, Fridolin",Kinder zeichnen den Garten,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '36', '1946', '5', None, '69']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1946:36::146', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1946:36::146', 'doi:10.5169/seals-1004729']"
