,dc_creator,dc_title,dc:publisher,dc_source,dc_identifier
16641,"['Camenisch, Aldina', 'Hammerich, Anja']","Interview mit Aldina Camenisch, Doktorandin im SNF-Projekt ""Auswanderung aus der Schweiz"", am Seminar für Kulturwissenschaft und Europäische Ethnologie der Universität Basel",Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde = Folklore suisse : bulletin de la Société suisse des traditions populaires = Folclore svizzero : bollettino della Società svizzera per le tradizioni popolari', '201211-X', '1420-4185', '105', '2015', '3', None, '70']","['https://www.e-periodica.ch/digbib/view?pid=sgv-003:2015:105::126', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-003:2015:105::126', 'doi:10.5169/seals-1003809']"
16642,"[""D'Orta, Elena"", 'Bühler, Tanja']",Von Märchenwelten und Vielfaltserfahrungen,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde = Folklore suisse : bulletin de la Société suisse des traditions populaires = Folclore svizzero : bollettino della Società svizzera per le tradizioni popolari', '201211-X', '1420-4185', '105', '2015', '3', None, '75']","['https://www.e-periodica.ch/digbib/view?pid=sgv-003:2015:105::127', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-003:2015:105::127', 'doi:10.5169/seals-1003810']"
16643,"Picard, Jacques",Zur Wiederauffindung des Jüdischen in Volkskunde und empirischer Kulturwissenschaft,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde = Folklore suisse : bulletin de la Société suisse des traditions populaires = Folclore svizzero : bollettino della Società svizzera per le tradizioni popolari', '201211-X', '1420-4185', '104', '2014', '1', None, '2']","['https://www.e-periodica.ch/digbib/view?pid=sgv-003:2014:104::89', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-003:2014:104::89', 'doi:10.5169/seals-1003782']"
16644,"Ross, Sarah",The Jewish-Feminist Songbook : 40 Jahre Amerikanisch-Jüdischer Feminismus in Liedern,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde = Folklore suisse : bulletin de la Société suisse des traditions populaires = Folclore svizzero : bollettino della Società svizzera per le tradizioni popolari', '201211-X', '1420-4185', '104', '2014', '1', None, '8']","['https://www.e-periodica.ch/digbib/view?pid=sgv-003:2014:104::90', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-003:2014:104::90', 'doi:10.5169/seals-1003783']"
16645,"Willms, Claudia",Eduard Hoffmann-Krayer und die Jüdische Volkskunde von 1917-1936,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde = Folklore suisse : bulletin de la Société suisse des traditions populaires = Folclore svizzero : bollettino della Società svizzera per le tradizioni popolari', '201211-X', '1420-4185', '104', '2014', '1', None, '13']","['https://www.e-periodica.ch/digbib/view?pid=sgv-003:2014:104::91', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-003:2014:104::91', 'doi:10.5169/seals-1003784']"
16646,"Lurati, Ottavio",Incontri il diritto anche quando vai tra i prati ...,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde = Folklore suisse : bulletin de la Société suisse des traditions populaires = Folclore svizzero : bollettino della Società svizzera per le tradizioni popolari', '201211-X', '1420-4185', '104', '2014', '1', None, '20']","['https://www.e-periodica.ch/digbib/view?pid=sgv-003:2014:104::92', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-003:2014:104::92', 'doi:10.5169/seals-1003785']"
16647,"['Schlerkmann, Isabel', 'Besmer, Christina']","Interview mit Isabel Schlerkmann, Historikerin und Kulturmanagerin",Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde = Folklore suisse : bulletin de la Société suisse des traditions populaires = Folclore svizzero : bollettino della Società svizzera per le tradizioni popolari', '201211-X', '1420-4185', '104', '2014', '1', None, '23']","['https://www.e-periodica.ch/digbib/view?pid=sgv-003:2014:104::93', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-003:2014:104::93', 'doi:10.5169/seals-1003786']"
16648,"Gallati, Mischa",Wider die Verlärmung der Alpen : Echos einer Debatte aus den 1950er Jahren,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde = Folklore suisse : bulletin de la Société suisse des traditions populaires = Folclore svizzero : bollettino della Società svizzera per le tradizioni popolari', '201211-X', '1420-4185', '104', '2014', '[2]', None, '30']","['https://www.e-periodica.ch/digbib/view?pid=sgv-003:2014:104::96', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-003:2014:104::96', 'doi:10.5169/seals-1003787']"
16649,"Massmünster, Michael",Nächtliches Lärmempfinden : Ambivalenzen eines sozialen Gefühls,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde = Folklore suisse : bulletin de la Société suisse des traditions populaires = Folclore svizzero : bollettino della Società svizzera per le tradizioni popolari', '201211-X', '1420-4185', '104', '2014', '[2]', None, '34']","['https://www.e-periodica.ch/digbib/view?pid=sgv-003:2014:104::97', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-003:2014:104::97', 'doi:10.5169/seals-1003788']"
16650,"Jäggi, Patricia","Kuhglocken, Seiltrommeln, Bahnhöfe : die (sur)realistischen Klanglandschaften des Schweizer Radio International",Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde = Folklore suisse : bulletin de la Société suisse des traditions populaires = Folclore svizzero : bollettino della Società svizzera per le tradizioni popolari', '201211-X', '1420-4185', '104', '2014', '[2]', None, '38']","['https://www.e-periodica.ch/digbib/view?pid=sgv-003:2014:104::98', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-003:2014:104::98', 'doi:10.5169/seals-1003789']"
16651,"['Mohler, Peter', 'Andris, Silke']","Interview mit Peter Mohler, Amt für Umwelt und Energie, Dept. für Wirtschaft, Soziales und Umwelt des Kantons Basel Stadt, Mitglied der Geschäftsleitung",Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde = Folklore suisse : bulletin de la Société suisse des traditions populaires = Folclore svizzero : bollettino della Società svizzera per le tradizioni popolari', '201211-X', '1420-4185', '104', '2014', '[2]', None, '42']","['https://www.e-periodica.ch/digbib/view?pid=sgv-003:2014:104::99', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-003:2014:104::99', 'doi:10.5169/seals-1003790']"
16652,"Schürch, Franziska","Was ist eigentlich Fleisch : was ist eigentlich Fleisch, und möchten wir, dass der Cervelat daraus besteht?",Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde = Folklore suisse : bulletin de la Société suisse des traditions populaires = Folclore svizzero : bollettino della Società svizzera per le tradizioni popolari', '201211-X', '1420-4185', '104', '2014', '[3]', None, '56']","['https://www.e-periodica.ch/digbib/view?pid=sgv-003:2014:104::103', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-003:2014:104::103', 'doi:10.5169/seals-1003791']"
16653,"Vontobel, Marianne",Nicht denkbare Bilder : Metzgerfotografien im Wandel der Zeit,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde = Folklore suisse : bulletin de la Société suisse des traditions populaires = Folclore svizzero : bollettino della Società svizzera per le tradizioni popolari', '201211-X', '1420-4185', '104', '2014', '[3]', None, '59']","['https://www.e-periodica.ch/digbib/view?pid=sgv-003:2014:104::104', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-003:2014:104::104', 'doi:10.5169/seals-1003792']"
16654,"Niederhauser, Rebecca",Raus aus dem Salatorium! : Lebensreformerischer Vegetarismus zwischen bürgerlichem Eiweissdogma und alternativer Moderne,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde = Folklore suisse : bulletin de la Société suisse des traditions populaires = Folclore svizzero : bollettino della Società svizzera per le tradizioni popolari', '201211-X', '1420-4185', '104', '2014', '[3]', None, '63']","['https://www.e-periodica.ch/digbib/view?pid=sgv-003:2014:104::105', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-003:2014:104::105', 'doi:10.5169/seals-1003793']"
16655,"['Spielhagen, Jan', 'Müske, Johannes']","Interview mit Jan Spielhagen, Chefredakteur BEEF!, Verlag Gruner + Jahr (G+J)",Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde = Folklore suisse : bulletin de la Société suisse des traditions populaires = Folclore svizzero : bollettino della Società svizzera per le tradizioni popolari', '201211-X', '1420-4185', '104', '2014', '[3]', None, '67']","['https://www.e-periodica.ch/digbib/view?pid=sgv-003:2014:104::106', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-003:2014:104::106', 'doi:10.5169/seals-1003794']"
16656,"Bachmann, Michelle",Ein Blick in die Arbeitswelt von ... : ... Isabel Miko Iso: Co-Leiterin Interventionsstelle gegen häusliche Gewalt beim Kanton Basel-Stadt,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde = Folklore suisse : bulletin de la Société suisse des traditions populaires = Folclore svizzero : bollettino della Società svizzera per le tradizioni popolari', '201211-X', '1420-4185', '103', '2013', '[1]', None, '2']","['https://www.e-periodica.ch/digbib/view?pid=sgv-003:2013:103::84', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-003:2013:103::84', 'doi:10.5169/seals-1003811']"
16657,"Dill, Barbara","Ein Fenster zur Berufswelt von ... : ... Barbara Dill, Projektleiterin bei Konsortium 813",Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde = Folklore suisse : bulletin de la Société suisse des traditions populaires = Folclore svizzero : bollettino della Società svizzera per le tradizioni popolari', '201211-X', '1420-4185', '103', '2013', '[1]', None, '4']","['https://www.e-periodica.ch/digbib/view?pid=sgv-003:2013:103::85', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-003:2013:103::85', 'doi:10.5169/seals-1003812']"
